"","x","y","region","id","hemisphere"
"330",295.5986,415.3476,"aca",330,"left"
"331",289.65,410.8862,"aca",331,"left"
"332",285.75,413.5,"aca",332,"left"
"333",278.75,418.25,"aca",333,"left"
"334",266.5,419.5,"aca",334,"left"
"335",255.3333,417.3333,"aca",335,"left"
"336",248.6667,415.3333,"aca",336,"left"
"337",242,406,"aca",337,"left"
"338",236.6667,417.3333,"aca",338,"left"
"339",229.3333,417.3333,"aca",339,"left"
"340",209,409.5,"aca",340,"left"
"341",201,408.25,"aca",341,"left"
"342",197.8192,398.9891,"aca",342,"left"
"343",202.2806,389.3227,"aca",343,"left"
"344",207.4856,380.3998,"aca",344,"left"
"345",207.4856,372.5924,"aca",345,"left"
"346",212.6906,360.6953,"aca",346,"left"
"347",223.1005,350.2853,"aca",347,"left"
"348",230.908,342.4778,"aca",348,"left"
"349",246.1512,338.0164,"aca",349,"left"
"350",256.933,339.1317,"aca",350,"left"
"351",267.343,346.1956,"aca",351,"left"
"352",272.5479,350.657,"aca",352,"left"
"353",278.4965,345.8239,"aca",353,"left"
"354",281.099,341.7342,"aca",354,"left"
"355",278.1247,340.9906,"aca",355,"left"
"356",271.4326,342.8496,"aca",356,"left"
"357",260.6508,341.7342,"aca",357,"left"
"358",249.4973,336.5292,"aca",358,"left"
"359",234.2541,341.3624,"aca",359,"left"
"360",224.5877,344.7085,"aca",360,"left"
"361",221.2416,342.4778,"aca",361,"left"
"362",218.2673,338.0164,"aca",362,"left"
"363",209.7163,338.3882,"aca",363,"left"
"364",201.1652,342.8496,"aca",364,"left"
"365",200.0499,352.516,"aca",365,"left"
"366",201.1652,368.1309,"aca",366,"left"
"367",199.3063,376.682,"aca",367,"left"
"368",194.8449,387.8355,"aca",368,"left"
"369",188.1528,394.8994,"aca",369,"left"
"370",181.8324,398.9891,"aca",370,"left"
"371",179.2299,400.1044,"aca",371,"left"
"372",171.4225,398.9891,"aca",372,"left"
"373",163.615,390.8098,"aca",373,"left"
"374",160.2689,381.5152,"aca",374,"left"
"375",166.3333,369.3333,"aca",375,"left"
"376",156.3333,383,"aca",376,"left"
"377",145.3333,388.6667,"aca",377,"left"
"378",134.6667,382.6667,"aca",378,"left"
"379",127.3333,374.3333,"aca",379,"left"
"380",123.3333,362,"aca",380,"left"
"381",136.8464,348.4263,"aca",381,"left"
"382",148.3718,342.4778,"aca",382,"left"
"383",171.5,343.5,"aca",383,"left"
"384",181.5,340.5,"aca",384,"left"
"385",177.7428,335.4139,"aca",385,"left"
"386",170.5,336.5,"aca",386,"left"
"387",158.7818,335.4139,"aca",387,"left"
"388",150.6025,335.7856,"aca",388,"left"
"389",142.795,333.9267,"aca",389,"left"
"390",138.7054,332.8114,"aca",390,"left"
"391",136.1029,327.6064,"aca",391,"left"
"392",137.9618,320.5425,"aca",392,"left"
"393",143.5386,307.53,"aca",393,"left"
"394",134.9875,317.5682,"aca",394,"left"
"395",127.5518,329.0935,"aca",395,"left"
"396",127.3333,343.6667,"aca",396,"left"
"397",119,353,"aca",397,"left"
"398",112.6666,362,"aca",398,"left"
"399",104.3334,363.3333,"aca",399,"left"
"400",90.6666,354.6667,"aca",400,"left"
"401",91.1169,335.4139,"aca",401,"left"
"402",97.4373000000001,319.7989,"aca",402,"left"
"403",111.9369,311.2479,"aca",403,"left"
"404",124.9493,303.4404,"aca",404,"left"
"405",127.5,301.5,"aca",405,"left"
"406",121,305.75,"aca",406,"left"
"407",117.1418,307.9018,"aca",407,"left"
"408",104.1294,316.0811,"aca",408,"left"
"409",93.7194,316.8246,"aca",409,"left"
"410",90.5,319,"aca",410,"left"
"411",87.7709,330.5807,"aca",411,"left"
"412",84.7966,337.6446,"aca",412,"left"
"413",78.848,338.0164,"aca",413,"left"
"414",69.3334,338.6667,"aca",414,"left"
"415",66,329.3333,"aca",415,"left"
"416",60.6306,325.0039,"aca",416,"left"
"417",54.3102,320.5425,"aca",417,"left"
"418",52,315.5,"aca",418,"left"
"419",61.7459,314.2221,"aca",419,"left"
"420",76.6173,313.1068,"aca",420,"left"
"421",90.3733999999999,304.9275,"aca",421,"left"
"422",100.7833,301.5815,"aca",422,"left"
"423",124.2057,294.8893,"aca",423,"left"
"424",146.1411,285.9665,"aca",424,"left"
"425",156.5511,283.364,"aca",425,"left"
"426",163.9868,280.0179,"aca",426,"left"
"427",178.1146,271.4669,"aca",427,"left"
"428",183.3196,265.1465,"aca",428,"left"
"429",191.127,268.8644,"aca",429,"left"
"430",195.9603,271.4669,"aca",430,"left"
"431",205.75,274.5,"aca",431,"left"
"432",223.75,280.75,"aca",432,"left"
"433",233,286.5,"aca",433,"left"
"434",246.523,291.1715,"aca",434,"left"
"435",262.5,297.75,"aca",435,"left"
"436",275.25,301.75,"aca",436,"left"
"437",285.25,303.75,"aca",437,"left"
"438",297.0858,304.5557,"aca",438,"left"
"439",314.75,306,"aca",439,"left"
"440",333.1489,305.2993,"aca",440,"left"
"441",350.5,305,"aca",441,"left"
"442",362.8917,304.1839,"aca",442,"left"
"443",375.9041,302.325,"aca",443,"left"
"444",395.6087,297.12,"aca",444,"left"
"445",402.6726,294.5175,"aca",445,"left"
"446",406.0187,291.915,"aca",446,"left"
"447",410.4801,289.6843,"aca",447,"left"
"448",411.5955,285.2229,"aca",448,"left"
"449",412.3391,280.0179,"aca",449,"left"
"450",411.2237,274.8129,"aca",450,"left"
"451",408.6212,268.8644,"aca",451,"left"
"452",397.8394,263.6594,"aca",452,"left"
"453",387.8013,259.198,"aca",453,"left"
"454",377.0195,253.6212,"aca",454,"left"
"455",375.5323,248.0444,"aca",455,"left"
"456",377.7631,245.0701,"aca",456,"left"
"457",380.3656,240.9805,"aca",457,"left"
"458",380.3656,239.1216,"aca",458,"left"
"459",377.3913,235.7755,"aca",459,"left"
"460",51,299.75,"ws_post",1,"left"
"461",52,307.5,"ws_post",2,"left"
"462",54,312.75,"ws_post",3,"left"
"463",59.25,313.75,"ws_post",4,"left"
"464",73.25,312,"ws_post",5,"left"
"465",75.75,310,"ws_post",6,"left"
"466",78,306.25,"ws_post",7,"left"
"467",79.25,303.25,"ws_post",8,"left"
"468",78.5,306.25,"ws_post",9,"left"
"469",76.5,309.25,"ws_post",10,"left"
"470",76.5,312.25,"ws_post",11,"left"
"471",76.75,312.75,"ws_post",12,"left"
"472",80.25,311.25,"ws_post",13,"left"
"473",86.75,305.5,"ws_post",14,"left"
"474",94.25,303.25,"ws_post",15,"left"
"475",105,299.5,"ws_post",16,"left"
"476",113.5,296.75,"ws_post",17,"left"
"477",126,294.25,"ws_post",18,"left"
"478",128.25,293,"ws_post",19,"left"
"479",129.5,292.5,"ws_post",20,"left"
"480",131.25,291.75,"ws_post",21,"left"
"481",132.75,291.5,"ws_post",22,"left"
"482",133.5,291,"ws_post",23,"left"
"483",134.5,290.5,"ws_post",24,"left"
"484",135.5,290,"ws_post",25,"left"
"485",137.25,289.5,"ws_post",26,"left"
"486",139,289,"ws_post",27,"left"
"487",141.25,287.75,"ws_post",28,"left"
"488",143.75,286.75,"ws_post",29,"left"
"489",146.25,285.75,"ws_post",30,"left"
"490",152.75,284,"ws_post",31,"left"
"491",160.75,281.5,"ws_post",32,"left"
"492",171.25,275.75,"ws_post",33,"left"
"493",179,270.75,"ws_post",34,"left"
"494",183.5,264.5,"ws_post",35,"left"
"495",182,261.25,"ws_post",36,"left"
"496",178.5,256,"ws_post",37,"left"
"497",172.25,255.5,"ws_post",38,"left"
"498",161,256,"ws_post",39,"left"
"499",152.5,257.75,"ws_post",40,"left"
"500",136.25,260.75,"ws_post",41,"left"
"501",125,263.75,"ws_post",42,"left"
"502",107,269,"ws_post",43,"left"
"503",98.75,272,"ws_post",44,"left"
"504",94.25,278.25,"ws_post",45,"left"
"505",91.75,280.75,"ws_post",46,"left"
"506",80.25,283,"ws_post",47,"left"
"507",77.25,286.5,"ws_post",48,"left"
"508",67,287.25,"ws_post",49,"left"
"509",60.5,288.5,"ws_post",50,"left"
"510",56.5,288.5,"ws_post",51,"left"
"511",52.25,292,"ws_post",52,"left"
"512",51.5,296.25,"ws_post",53,"left"
"513",27.5,279.5,"pca",1,"left"
"514",38,286.5,"pca",2,"left"
"515",50,286.5,"pca",3,"left"
"516",60.5,280,"pca",4,"left"
"517",64,273,"pca",5,"left"
"518",67.5,266,"pca",6,"left"
"519",67.5,259,"pca",7,"left"
"520",66.5,253,"pca",8,"left"
"521",59.5,249.5,"pca",9,"left"
"522",60,244,"pca",10,"left"
"523",61.5,250,"pca",11,"left"
"524",67.5,251,"pca",12,"left"
"525",74.5,249.5,"pca",13,"left"
"526",76.5,247.5,"pca",14,"left"
"527",81.5,245,"pca",15,"left"
"528",90.5,244,"pca",16,"left"
"529",100,235.5,"pca",17,"left"
"530",96,227.5,"pca",18,"left"
"531",98.5,228,"pca",19,"left"
"532",98,238.5,"pca",20,"left"
"533",97,243,"pca",21,"left"
"534",81,249,"pca",22,"left"
"535",79.5,252.5,"pca",23,"left"
"536",79.5,265.5,"pca",24,"left"
"537",77,273.5,"pca",25,"left"
"538",77.5,284,"pca",26,"left"
"539",93,278.5,"pca",27,"left"
"540",98.5,272,"pca",28,"left"
"541",105.5,269.5,"pca",29,"left"
"542",116,266,"pca",30,"left"
"543",121,264.5,"pca",31,"left"
"544",126.25,263.75,"pca",32,"left"
"545",130,262.5,"pca",33,"left"
"546",132,261.75,"pca",34,"left"
"547",134.5,261.25,"pca",35,"left"
"548",136.5,261,"pca",36,"left"
"549",144.5,259,"pca",37,"left"
"550",163,255.5,"pca",38,"left"
"551",178.5,255.5,"pca",39,"left"
"552",178,244,"pca",40,"left"
"553",178,239,"pca",41,"left"
"554",169.5,234.5,"pca",42,"left"
"555",161.5,235,"pca",43,"left"
"556",158,238.5,"pca",44,"left"
"557",152,242.5,"pca",45,"left"
"558",147,240,"pca",46,"left"
"559",142.5,238,"pca",47,"left"
"560",151.5,240.5,"pca",48,"left"
"561",155,241,"pca",49,"left"
"562",163,235.5,"pca",50,"left"
"563",172.5,233,"pca",51,"left"
"564",176,228.5,"pca",52,"left"
"565",171.5,225,"pca",53,"left"
"566",168,222.5,"pca",54,"left"
"567",162.5,219,"pca",55,"left"
"568",158,213.5,"pca",56,"left"
"569",149.5,208.5,"pca",57,"left"
"570",143.5,208.5,"pca",58,"left"
"571",140,209,"pca",59,"left"
"572",131,209.5,"pca",60,"left"
"573",126,215,"pca",61,"left"
"574",119.5,217.5,"pca",62,"left"
"575",112,217.5,"pca",63,"left"
"576",105.5,218.5,"pca",64,"left"
"577",104.5,226,"pca",65,"left"
"578",103,218,"pca",66,"left"
"579",103.5,213.5,"pca",67,"left"
"580",102,208.5,"pca",68,"left"
"581",109,212.5,"pca",69,"left"
"582",116,212,"pca",70,"left"
"583",123,211,"pca",71,"left"
"584",129,207.5,"pca",72,"left"
"585",130.5,204,"pca",73,"left"
"586",130.5,198.5,"pca",74,"left"
"587",130,192.5,"pca",75,"left"
"588",126,188,"pca",76,"left"
"589",121.5,184,"pca",77,"left"
"590",117,179.5,"pca",78,"left"
"591",112.5,173.5,"pca",79,"left"
"592",107.5,168,"pca",80,"left"
"593",102,161,"pca",81,"left"
"594",99.5,154,"pca",82,"left"
"595",95,154,"pca",83,"left"
"596",91,158,"pca",84,"left"
"597",90,160.5,"pca",85,"left"
"598",91.5,167.5,"pca",86,"left"
"599",93,176.5,"pca",87,"left"
